budget	count
[2.995, 3.685]	2095
(3.685, 4.369]	3933
(4.369, 5.0539]	3007
(5.0539, 5.739]	2173
(5.739, 6.423]	2027
(6.423, 7.108]	1530
(7.108, 7.792]	1183
(7.792, 8.477]	395
